Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722065622,38155.07,0.867,0.878,0.793,0.004,0.8,0.008,0.207,0.8,5383.91,848.49,73.809052091
2,1722065796,40326.92,0.865,0.874,0.772,0.004,0.8,0.007,0.228,0.8,5534.78,854.32,77.719148565
3,1722065974,38840.9,0.866,0.878,0.764,0.004,0.8,0.007,0.236,0.8,5722.81,877.56,82.739008529
4,1722066156,38278.51,0.875,0.867,0.745,0.003,0.8,0.006,0.255,0.8,5216.83,825.84,69.864176168
5,1722066327,39144.36,0.862,0.877,0.78,0.004,0.8,0.007,0.221,0.8,5590.71,874.13,80.861525922
6,1722066508,36576.96,0.865,0.882,0.794,0.004,0.8,0.008,0.206,0.8,5888.17,875.44,88.567235563
7,1722066696,37258.33,0.851,0.868,0.736,0.003,0.8,0.006,0.264,0.8,5099.61,800.05,66.597827641
8,1722066865,36971.77,0.874,0.866,0.748,0.003,0.8,0.007,0.252,0.8,5139.28,810.85,68.216769286
9,1722067033,37251.85,0.875,0.864,0.721,0.003,0.8,0.006,0.279,0.8,5067.79,811.63,66.092595669
10,1722067199,39143.38,0.869,0.882,0.785,0.004,0.8,0.008,0.215,0.8,5480.41,856.61,75.285992074
11,1722067374,37820.25,0.871,0.858,0.732,0.003,0.8,0.006,0.268,0.8,5709.87,880.79,83.134993791
12,1722067558,38211.46,0.876,0.858,0.729,0.003,0.8,0.006,0.271,0.8,5537.9,863.74,79.240143254
13,1722067739,39028.54,0.869,0.881,0.79,0.004,0.8,0.008,0.21,0.8,5509.31,864.2,76.92086728
14,1722067916,38172.31,0.882,0.869,0.76,0.003,0.8,0.007,0.241,0.8,5510.97,857.3,78.075667967
15,1722068095,37198.41,0.863,0.858,0.719,0.003,0.8,0.006,0.281,0.8,5350.93,832.34,74.627534362
16,1722068270,37397.13,0.873,0.87,0.76,0.003,0.8,0.007,0.24,0.8,5448.72,840.69,78.385613093
17,1722068448,36723.94,0.878,0.858,0.726,0.003,0.8,0.006,0.274,0.8,5359.11,835.05,74.092975813
18,1722068622,39808.98,0.871,0.872,0.775,0.004,0.8,0.007,0.225,0.8,5573.83,869.14,79.306406998
19,1722068803,39423.78,0.86,0.87,0.747,0.003,0.8,0.007,0.253,0.8,5392.49,847.13,73.865776387
20,1722068976,38324.93,0.865,0.867,0.753,0.003,0.8,0.007,0.247,0.8,5728.38,873.12,82.753337538
21,1722069160,38658.86,0.861,0.859,0.713,0.003,0.8,0.006,0.287,0.8,5445.02,853.86,75.471417168
22,1722069334,37756.97,0.868,0.876,0.786,0.004,0.8,0.008,0.214,0.8,5233.35,825.58,69.720007793
23,1722069505,38014.58,0.864,0.881,0.789,0.004,0.8,0.008,0.211,0.8,5740.81,867.84,83.031242078
24,1722069689,38706.22,0.875,0.873,0.758,0.003,0.8,0.007,0.242,0.8,5187.56,820.98,68.208843415
25,1722069857,38336.95,0.875,0.865,0.756,0.003,0.8,0.007,0.244,0.8,5190.41,817.04,70.878639923
26,1722070029,37805.74,0.872,0.864,0.755,0.003,0.8,0.007,0.245,0.8,5533.6,857.47,79.076561002
27,1722070208,38644.43,0.87,0.854,0.723,0.003,0.8,0.006,0.277,0.8,5476.82,834.39,75.887154135
28,1722070383,39910.18,0.859,0.874,0.773,0.004,0.8,0.007,0.227,0.8,5405.06,845.83,75.044214978
29,1722070559,36763.0,0.873,0.872,0.766,0.004,0.8,0.007,0.234,0.8,5568.13,842.04,79.409526484
30,1722070739,38608.82,0.875,0.857,0.72,0.003,0.8,0.006,0.28,0.8,5544.51,850.38,78.35154864
