Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722071094,756.6,0.845,0.853,0.72,0.003,0.8,0.006,0.28,0.8,2075.39,285.89,39.6770326
2,1722071235,698.85,0.846,0.847,0.687,0.003,0.8,0.005,0.313,0.8,2326.44,305.41,46.076940537
3,1722071381,600.86,0.857,0.844,0.696,0.003,0.8,0.005,0.304,0.8,2390.28,299.35,49.678910575
4,1722071530,586.86,0.848,0.846,0.715,0.003,0.8,0.006,0.285,0.8,2299.82,289.43,45.81401728
5,1722071677,601.84,0.865,0.844,0.706,0.003,0.8,0.006,0.294,0.8,2220.2,287.68,42.744162503
6,1722071820,598.66,0.841,0.847,0.716,0.003,0.8,0.006,0.284,0.8,2324.2,294.85,46.710557507
7,1722071968,589.14,0.851,0.856,0.721,0.003,0.8,0.006,0.279,0.8,2294.08,286.04,44.874763505
8,1722072113,677.11,0.846,0.849,0.706,0.003,0.8,0.006,0.294,0.8,2391.77,300.98,48.317517137
9,1722072261,752.17,0.851,0.838,0.689,0.003,0.8,0.005,0.311,0.8,2338.5,297.07,46.416963789
10,1722072409,692.18,0.836,0.853,0.721,0.003,0.8,0.006,0.279,0.8,2489.42,290.92,51.498986243
11,1722072561,604.74,0.852,0.853,0.742,0.003,0.8,0.006,0.258,0.8,2630.94,321.81,55.111306124
12,1722072717,597.79,0.842,0.856,0.743,0.003,0.8,0.006,0.257,0.8,2119.07,283.79,40.888610265
13,1722072856,662.79,0.858,0.852,0.702,0.003,0.8,0.006,0.298,0.8,2261.23,296.91,45.404976379
14,1722073003,604.08,0.853,0.84,0.709,0.003,0.8,0.006,0.291,0.8,2160.53,292.93,41.845421303
15,1722073145,655.55,0.85,0.851,0.722,0.003,0.8,0.006,0.278,0.8,2240.39,288.37,44.838801968
16,1722073290,599.83,0.849,0.847,0.709,0.003,0.8,0.006,0.291,0.8,2201.69,287.91,43.314554019
17,1722073434,585.8,0.861,0.851,0.718,0.003,0.8,0.006,0.282,0.8,2540.11,321.87,52.511625021
18,1722073587,590.77,0.854,0.849,0.711,0.003,0.8,0.006,0.289,0.8,2289.16,301.82,46.031508393
19,1722073732,790.81,0.839,0.848,0.715,0.003,0.8,0.006,0.285,0.8,2133.51,279.63,41.205999434
20,1722073874,647.48,0.846,0.844,0.707,0.003,0.8,0.006,0.293,0.8,2132.07,284.23,41.269981786
21,1722074017,587.09,0.844,0.845,0.718,0.003,0.8,0.006,0.282,0.8,2053.41,282.55,39.222629695
22,1722074155,643.14,0.843,0.844,0.7,0.003,0.8,0.006,0.3,0.8,1966.54,269.34,37.002368511
23,1722074293,580.52,0.844,0.853,0.733,0.003,0.8,0.006,0.267,0.8,2226.93,291.42,44.529948094
24,1722074437,591.37,0.844,0.853,0.734,0.003,0.8,0.006,0.266,0.8,2383.27,305.85,48.905463006
25,1722074585,587.87,0.856,0.857,0.743,0.003,0.8,0.006,0.257,0.8,2411.97,332.59,48.412045012
26,1722074735,610.52,0.85,0.857,0.738,0.003,0.8,0.006,0.262,0.8,2619.36,320.45,56.045227103
27,1722074892,638.58,0.848,0.846,0.695,0.003,0.8,0.005,0.305,0.8,2652.44,309.99,55.834436298
28,1722075048,604.5,0.847,0.849,0.726,0.003,0.8,0.006,0.274,0.8,2290.92,300.97,46.024225975
29,1722075193,622.42,0.847,0.851,0.717,0.003,0.8,0.006,0.284,0.8,1894.58,260.68,35.408985136
30,1722075330,565.86,0.854,0.861,0.732,0.003,0.8,0.006,0.268,0.8,2196.2,287.02,43.43283994
