Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722075497,614.64,0.853,0.848,0.716,0.003,0.8,0.006,0.284,0.8,2058.54,284.62,39.686632708
2,1722075637,589.4,0.855,0.842,0.69,0.003,0.8,0.005,0.31,0.8,2081.89,284.08,40.508126149
3,1722075778,614.75,0.851,0.85,0.712,0.003,0.8,0.006,0.288,0.8,2357.07,294.15,48.001935384
4,1722075925,540.33,0.851,0.859,0.739,0.003,0.8,0.006,0.261,0.8,2358.87,303.78,47.477030967
5,1722076073,612.11,0.848,0.854,0.726,0.003,0.8,0.006,0.274,0.8,2467.07,313.1,51.005093478
6,1722076226,606.77,0.852,0.844,0.7,0.003,0.8,0.006,0.3,0.8,2016.04,278.63,37.701571281
7,1722076364,605.45,0.849,0.862,0.745,0.003,0.8,0.006,0.255,0.8,2028.71,275.33,39.150945116
8,1722076503,637.87,0.861,0.84,0.686,0.003,0.8,0.005,0.314,0.8,2774.39,317.1,60.837915492
9,1722076664,755.98,0.849,0.85,0.717,0.003,0.8,0.006,0.284,0.8,2040.51,271.97,39.536740228
10,1722076804,644.55,0.845,0.854,0.728,0.003,0.8,0.006,0.272,0.8,1935.01,265.66,35.760252669
11,1722076941,625.69,0.842,0.86,0.74,0.003,0.8,0.006,0.26,0.8,2654.68,315.11,57.02759115
12,1722077096,641.02,0.854,0.843,0.699,0.003,0.8,0.005,0.301,0.8,2336.24,312.99,46.256514268
13,1722077244,607.05,0.852,0.852,0.726,0.003,0.8,0.006,0.274,0.8,2298.95,296.25,45.760909316
14,1722077389,611.8,0.845,0.839,0.688,0.003,0.8,0.005,0.312,0.8,2397.97,304.21,49.599939284
15,1722077539,612.04,0.849,0.854,0.746,0.003,0.8,0.006,0.254,0.8,2191.34,289.51,43.482413076
16,1722077684,612.83,0.854,0.84,0.699,0.003,0.8,0.005,0.301,0.8,2070.83,269.32,39.104211931
17,1722077823,664.24,0.856,0.848,0.713,0.003,0.8,0.006,0.287,0.8,2210.81,281.43,42.412986578
18,1722077965,593.17,0.856,0.858,0.736,0.003,0.8,0.006,0.264,0.8,2144.51,286.58,41.581086207
19,1722078107,863.32,0.852,0.861,0.76,0.003,0.8,0.007,0.24,0.8,2136.27,286.07,41.162829724
20,1722078248,756.43,0.842,0.84,0.71,0.003,0.8,0.006,0.29,0.8,2093.58,274.42,40.139239601
21,1722078390,730.94,0.836,0.849,0.71,0.003,0.8,0.006,0.29,0.8,1838.47,253.48,33.631163269
22,1722078523,695.75,0.848,0.849,0.712,0.003,0.8,0.006,0.288,0.8,2148.94,281.45,40.221616622
23,1722078665,699.56,0.841,0.854,0.738,0.003,0.8,0.006,0.262,0.8,2143.46,280.39,41.243521175
24,1722078806,590.61,0.851,0.844,0.691,0.003,0.8,0.005,0.309,0.8,2218.48,296.41,43.940889738
25,1722078949,647.85,0.847,0.851,0.72,0.003,0.8,0.006,0.28,0.8,2181.19,294.55,42.208085749
26,1722079092,615.36,0.847,0.853,0.738,0.003,0.8,0.006,0.262,0.8,2334.31,296.84,46.816214541
27,1722079239,600.14,0.846,0.857,0.734,0.003,0.8,0.006,0.266,0.8,2145.1,288.15,41.181173678
28,1722079382,625.67,0.839,0.844,0.717,0.003,0.8,0.006,0.283,0.8,2381.21,310.32,48.188990212
29,1722079529,582.99,0.843,0.846,0.711,0.003,0.8,0.006,0.289,0.8,1937.62,265.39,36.078633751
30,1722079666,633.34,0.859,0.849,0.702,0.003,0.8,0.006,0.298,0.8,2050.66,272.54,38.800226125
