Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722080566,724.96,0.841,0.834,0.686,0.003,0.8,0.005,0.314,0.8,5134.92,673.04,99.423502814
2,1722080766,593.79,0.834,0.838,0.694,0.003,0.8,0.005,0.306,0.8,5966.53,685.32,119.93260923
3,1722080986,580.26,0.826,0.835,0.677,0.003,0.8,0.005,0.323,0.8,5278.62,641.6,102.122968607
4,1722081189,639.95,0.827,0.839,0.7,0.003,0.8,0.006,0.3,0.8,4742.7,634.78,89.114164928
5,1722081380,588.69,0.828,0.839,0.707,0.003,0.8,0.006,0.293,0.8,6045.29,735.59,124.384086157
6,1722081603,565.95,0.833,0.838,0.664,0.002,0.8,0.005,0.336,0.8,4870.28,618.71,93.651274024
7,1722081797,593.36,0.834,0.84,0.721,0.003,0.8,0.006,0.279,0.8,5882.28,682.72,118.721910587
8,1722082017,638.1,0.828,0.841,0.672,0.003,0.8,0.005,0.329,0.8,6538.71,751.67,137.150444705
9,1722082253,644.69,0.834,0.836,0.684,0.003,0.8,0.005,0.316,0.8,5584.61,720.89,112.192356282
10,1722082466,558.72,0.823,0.832,0.68,0.003,0.8,0.005,0.32,0.8,5194.11,657.65,101.551692958
11,1722082668,669.22,0.835,0.836,0.695,0.003,0.8,0.005,0.305,0.8,5581.2,700.46,113.394922554
12,1722082882,634.9,0.83,0.837,0.679,0.003,0.8,0.005,0.321,0.8,5246.96,676.33,103.42782182
13,1722083085,617.07,0.834,0.838,0.69,0.003,0.8,0.005,0.31,0.8,5385.96,670.05,106.941039275
14,1722083293,586.79,0.837,0.819,0.645,0.002,0.8,0.005,0.355,0.8,5747.99,699.71,118.258652035
15,1722083512,597.7,0.831,0.837,0.676,0.003,0.8,0.005,0.324,0.8,5393.75,661.92,107.625891916
16,1722083720,723.95,0.825,0.841,0.689,0.003,0.8,0.005,0.311,0.8,5276.59,670.18,105.28678656
17,1722083926,588.5,0.838,0.827,0.662,0.002,0.8,0.005,0.338,0.8,6060.79,743.71,126.402555501
18,1722084152,552.18,0.84,0.839,0.702,0.003,0.8,0.006,0.298,0.8,5320.47,668.96,105.824600102
19,1722084358,623.87,0.838,0.85,0.723,0.003,0.8,0.006,0.278,0.8,6099.72,735.73,127.577523233
20,1722084587,627.71,0.836,0.836,0.696,0.003,0.8,0.005,0.304,0.8,5125.91,649.01,101.648789787
21,1722084789,583.73,0.832,0.835,0.682,0.003,0.8,0.005,0.318,0.8,5744.24,682.21,114.884226572
22,1722085004,743.87,0.837,0.83,0.673,0.003,0.8,0.005,0.327,0.8,4925.05,651.1,93.684244378
23,1722085198,581.09,0.834,0.834,0.687,0.003,0.8,0.005,0.313,0.8,5742.31,709.57,117.224752791
24,1722085414,610.88,0.841,0.822,0.639,0.002,0.8,0.005,0.361,0.8,5509.01,693.37,111.427746558
25,1722085626,703.24,0.82,0.831,0.678,0.003,0.8,0.005,0.323,0.8,5324.01,679.53,105.783469352
26,1722085833,662.31,0.84,0.839,0.72,0.003,0.8,0.006,0.28,0.8,5190.42,640.08,102.144883189
27,1722086034,738.91,0.83,0.828,0.674,0.003,0.8,0.005,0.326,0.8,5119.33,648.38,99.444661509
28,1722086234,582.18,0.831,0.832,0.668,0.002,0.8,0.005,0.333,0.8,5189.94,654.88,102.029651477
29,1722086438,632.49,0.831,0.831,0.677,0.003,0.8,0.005,0.323,0.8,6198.71,741.86,130.565650874
30,1722086668,673.83,0.842,0.819,0.639,0.002,0.8,0.005,0.361,0.8,5404.9,663.88,108.024698693
