Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722100141,36261.49,0.846,0.843,0.668,0.003,0.8,0.005,0.332,0.8,5264.25,816.48,75.899669249
2,1722100318,34827.78,0.86,0.839,0.658,0.002,0.8,0.005,0.342,0.8,4828.18,759.5,64.523381117
3,1722100482,37770.81,0.859,0.857,0.715,0.003,0.8,0.006,0.285,0.8,5419.85,809.28,80.137011986
4,1722100663,34445.95,0.861,0.855,0.72,0.003,0.8,0.006,0.28,0.8,4982.43,772.2,69.288647689
5,1722100832,36406.78,0.858,0.856,0.708,0.003,0.8,0.006,0.292,0.8,5384.46,797.97,80.903267777
6,1722101013,35914.71,0.857,0.852,0.741,0.003,0.8,0.006,0.259,0.8,5165.66,801.4,73.558037861
7,1722101188,36576.08,0.854,0.837,0.66,0.002,0.8,0.005,0.34,0.8,5217.17,800.66,74.891472918
8,1722101364,36671.95,0.851,0.835,0.652,0.002,0.8,0.005,0.348,0.8,5255.65,806.51,76.179680032
9,1722101538,35914.76,0.849,0.836,0.675,0.003,0.8,0.005,0.325,0.8,5075.9,805.69,71.360053899
10,1722101711,36106.48,0.854,0.859,0.746,0.003,0.8,0.006,0.254,0.8,4961.83,773.23,67.493987736
11,1722101879,35753.7,0.849,0.847,0.706,0.003,0.8,0.006,0.294,0.8,5455.07,817.57,82.118863053
12,1722102062,36411.15,0.85,0.842,0.676,0.003,0.8,0.005,0.325,0.8,5314.97,813.52,77.909647823
13,1722102239,35207.57,0.844,0.859,0.748,0.003,0.8,0.007,0.252,0.8,5471.39,830.15,82.266571037
14,1722102422,36410.92,0.846,0.864,0.757,0.003,0.8,0.007,0.243,0.8,5384.71,811.97,80.150743542
15,1722102603,36138.46,0.855,0.859,0.732,0.003,0.8,0.006,0.268,0.8,5397.77,825.71,79.551428191
16,1722102783,34980.96,0.849,0.853,0.712,0.003,0.8,0.006,0.288,0.8,5281.48,799.08,77.253259479
17,1722102960,37521.33,0.851,0.858,0.733,0.003,0.8,0.006,0.267,0.8,5111.67,790.73,70.778298717
18,1722103131,37034.7,0.861,0.842,0.689,0.003,0.8,0.005,0.311,0.8,4965.89,795.84,68.692116389
19,1722103300,36700.19,0.859,0.847,0.692,0.003,0.8,0.005,0.308,0.8,5005.67,794.58,68.94028299
20,1722103469,36483.62,0.843,0.861,0.733,0.003,0.8,0.006,0.267,0.8,4834.08,771.62,63.478387328
21,1722103632,36272.05,0.848,0.846,0.702,0.003,0.8,0.006,0.298,0.8,5066.36,787.83,70.166154933
22,1722103803,35453.71,0.858,0.85,0.687,0.003,0.8,0.005,0.313,0.8,5038.08,787.81,69.498410293
23,1722103974,37163.55,0.847,0.862,0.737,0.003,0.8,0.006,0.263,0.8,5195.12,801.97,74.526076945
24,1722104148,38087.05,0.852,0.849,0.703,0.003,0.8,0.006,0.297,0.8,5176.26,808.34,72.210468395
25,1722104321,35109.62,0.849,0.858,0.7,0.003,0.8,0.006,0.3,0.8,5157.88,807.22,72.089992864
26,1722104493,36356.14,0.855,0.864,0.752,0.003,0.8,0.007,0.248,0.8,5116.9,800.56,70.658842079
27,1722104663,36419.67,0.856,0.851,0.705,0.003,0.8,0.006,0.295,0.8,5334.26,818.49,76.923672578
28,1722104841,37016.3,0.852,0.857,0.733,0.003,0.8,0.006,0.267,0.8,5324.54,816.54,76.599422675
29,1722105018,36178.58,0.86,0.845,0.686,0.003,0.8,0.005,0.314,0.8,5210.32,805.71,75.395211976
30,1722105195,36392.81,0.844,0.849,0.691,0.003,0.8,0.005,0.309,0.8,5288.32,798.83,77.258028106
